City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,chui,-33.6971,-53.4616,16.73,88,11,5.52,UY,1729463814
83,fortuna,40.5982,-124.1573,19.96,69,0,4.63,US,1729463815
84,kutum,14.2,24.6667,24.06,21,82,6.02,SD,1729463816
85,belmonte,-15.8631,-38.8828,24.07,91,99,3.5,BR,1729463817
86,lorengau,-2.0226,147.2712,27.49,81,100,1.0,PG,1729463819
87,wailua homesteads,22.0669,-159.378,28.44,76,40,4.63,US,1729463820
88,palmer,42.1584,-72.3287,15.64,52,52,1.7,US,1729463821
89,aasiaat,68.7098,-52.8699,-4.55,90,100,7.0,GL,1729463822
90,novo aripuana,-5.1206,-60.3797,28.06,66,98,0.51,BR,1729463823
91,baiyin,36.5583,104.2081,6.57,52,56,13.12,CN,1729463825
92,geraldton,-28.7667,114.6,13.23,82,40,2.57,AU,1729463826
93,verkhnevilyuysk,63.4453,120.3167,-21.8,100,93,0.7,RU,1729463827
94,bom jesus,-9.0744,-44.3586,26.74,67,94,1.05,BR,1729463635
95,mermoz boabab,14.7065,-17.4758,27.88,83,36,3.09,SN,1729463829
96,kavaratti,10.5669,72.642,26.86,80,32,0.98,IN,1729463831
97,utrik,11.2278,169.8474,27.73,81,99,8.61,MH,1729463832
98,severnyy,50.677,36.5532,7.02,61,0,4.0,RU,1729463833
99,luderitz,-26.6481,15.1594,12.13,83,0,6.41,NA,1729463834
100,hamilton,39.1834,-84.5333,21.35,50,0,0.97,US,1729463550
101,papatowai,-46.5619,169.4708,13.01,88,90,3.33,NZ,1729463836
102,mariinsk,56.2139,87.7472,3.84,66,100,7.38,RU,1729463838
103,ferkessedougou,9.6,-5.2,26.15,74,73,1.4,CI,1729463839
104,sao felix do xingu,-6.6447,-51.995,23.41,93,100,1.25,BR,1729463840
105,zakamensk,50.3741,103.2863,-13.39,97,58,1.56,RU,1729463841
106,saint-philippe,-21.3585,55.7679,21.89,85,23,3.61,RE,1729463842
107,port elizabeth,-33.918,25.5701,15.17,96,100,4.63,ZA,1729463844
108,bulungu,-4.55,18.6,22.73,95,99,1.31,CD,1729463845
109,kruisfontein,-34.0033,24.7314,13.71,87,47,4.99,ZA,1729463846
110,beihai,21.4833,109.1,24.86,91,73,4.21,CN,1729463847
111,mar del plata,-38.0023,-57.5575,18.01,87,0,10.28,AR,1729463318
112,marsa alam,25.0757,34.8918,25.53,53,0,4.91,EG,1729463849
113,hammerfest,70.6634,23.6821,9.25,87,100,7.2,NO,1729463851
114,ribeira grande,38.5167,-28.7,16.54,83,29,4.92,PT,1729463852
115,chos malal,-37.3781,-70.2709,15.34,37,100,7.74,AR,1729463853
116,usinsk,65.9939,57.5281,-0.19,86,95,3.9,RU,1729463854
117,barhi,23.9,80.8,20.36,63,51,1.52,IN,1729463855
118,hotan,37.0997,79.9269,12.42,18,0,2.01,CN,1729463773
119,udachny,66.4167,112.4,-26.29,100,100,1.4,RU,1729463858
120,haiku-pauwela,20.9219,-156.3051,28.47,71,3,15.65,US,1729463859
121,talodi,10.6325,30.3797,25.46,58,97,1.94,SD,1729463860
122,ust'-ilimsk,58.0006,102.6619,-3.18,94,100,3.65,RU,1729463861
123,ndele,8.4109,20.6473,21.38,91,100,1.17,CF,1729463862
124,punta arenas,-53.15,-70.9167,10.06,66,0,5.14,CL,1729463864
125,melfort,52.8667,-104.6177,11.07,58,62,2.57,CA,1729463865
126,kasamwa,-2.85,32.4333,19.8,91,93,0.77,TZ,1729463866
127,khorixas,-20.3667,14.9667,16.29,36,0,2.04,NA,1729463867
128,shakawe,-18.3667,21.85,26.67,32,76,1.86,BW,1729463868
129,ushuaia,-54.8,-68.3,10.81,46,20,3.6,AR,1729463866
130,nabire,-3.3667,135.4833,26.6,83,99,1.51,ID,1729463871
131,huilong,31.8111,121.655,20.85,82,80,2.49,CN,1729463872
132,walvis bay,-22.9575,14.5053,12.24,87,0,4.71,NA,1729463873
133,anna regina,7.2644,-58.5077,27.46,78,86,3.34,GY,1729463874
134,gadzhiyevo,69.2551,33.3362,8.79,89,100,6.71,RU,1729463875
135,kayangel,8.0823,134.7173,29.22,82,100,11.93,PW,1729463877
136,jamestown,42.097,-79.2353,17.8,42,0,3.09,US,1729463878
137,saint-pierre,-21.3393,55.4781,20.82,68,0,1.54,RE,1729463879
138,iskateley,67.6803,53.1512,0.51,91,11,1.37,RU,1729463880
139,talnakh,69.4865,88.3972,-11.44,91,100,0.76,RU,1729463881
140,san antonio de pale,-1.4014,5.6325,25.23,77,52,5.07,GQ,1729463883
141,al jumum,21.6169,39.6981,27.5,59,0,2.1,SA,1729463884
142,puerto penasco,31.3167,-113.5333,29.99,44,0,4.02,MX,1729463885
143,kota kinabalu,5.9749,116.0724,23.99,94,20,1.54,MY,1729463886
144,zvishavane,-20.3267,30.0665,20.9,38,9,1.95,ZW,1729463888
145,nanjing,32.0617,118.7778,15.68,80,93,1.86,CN,1729463889
146,goundam,16.4145,-3.6708,32.24,11,0,7.08,ML,1729463890
147,wagar,16.1525,36.2032,28.07,57,53,4.43,SD,1729463891
148,lihue,21.9789,-159.3672,28.77,70,40,4.63,US,1729463892
149,porto novo,6.4965,2.6036,26.9,91,55,2.39,BJ,1729463894
150,nar'yan-mar,67.6713,53.087,0.57,91,11,1.43,RU,1729463895
151,ancud,-41.8697,-73.8203,11.07,89,96,2.57,CL,1729463604
152,valparaiso,-33.0393,-71.6273,16.13,77,40,4.12,CL,1729463897
153,cuyo,10.8525,121.0086,28.2,76,100,4.64,PH,1729463898
154,whitehorse,60.7161,-135.0538,-7.57,57,20,2.06,CA,1729463899
155,labrador city,52.9463,-66.9114,6.95,91,100,30.4,CA,1729463901
156,tynda,55.1667,124.7167,-6.77,80,100,3.01,RU,1729463902
157,st. john's,47.5649,-52.7093,12.76,84,20,6.17,CA,1729463872
158,altagracia de orituco,9.8601,-66.3814,23.53,91,97,2.52,VE,1729463904
159,lethem,3.3803,-59.7968,31.05,52,79,3.95,GY,1729463905
160,whistler,50.1164,-122.9695,5.57,100,100,0.0,CA,1729463907
161,chibougamau,49.9168,-74.3659,9.79,87,100,3.6,CA,1729463612
162,zheleznogorsk,52.331,35.3711,3.88,78,4,3.19,RU,1729463910
163,polyarnyy,69.1989,33.4478,8.73,88,100,6.79,RU,1729463911
164,abohar,30.15,74.1833,22.18,31,0,1.39,IN,1729463913
165,waingapu,-9.6567,120.2641,27.36,70,8,1.79,ID,1729463914
166,ta`u,-14.2336,-169.5144,27.39,79,22,4.02,AS,1729463915
167,portland,45.5234,-122.6762,20.56,70,100,3.6,US,1729463819
168,rosarito,32.3333,-117.0333,28.51,40,0,3.76,MX,1729463917
169,tchibanga,-2.85,11.0333,21.85,99,99,0.79,GA,1729463918
170,nishinoomote,30.7333,131.0,25.3,80,90,10.24,JP,1729463920
171,san luis de la loma,17.2706,-100.8939,28.67,77,95,1.5,MX,1729463922
172,usogorsk,63.4106,48.6872,7.61,98,100,2.25,RU,1729463923
173,ardestan,33.3761,52.3694,20.22,31,0,2.75,IR,1729463924
174,albert lea,43.648,-93.3683,27.05,39,0,4.63,US,1729463926
175,kerikeri,-35.2268,173.9474,19.95,67,28,2.24,NZ,1729463927
176,fort-shevchenko,44.5086,50.263,10.98,65,37,4.91,KZ,1729463928
177,ghat,24.9647,10.1728,24.15,29,19,1.57,LY,1729463929
178,brookings,44.3114,-96.7984,25.25,54,0,4.63,US,1729463846
179,qaqortoq,60.7167,-46.0333,-0.43,57,0,6.5,GL,1729463932
180,bowen,-20.0167,148.2333,25.26,69,8,5.13,AU,1729463933
181,alofi,-19.0595,-169.9187,24.94,94,75,4.12,NU,1729463934
